sentence,label
散热效果好，玩游戏不发热,1
电池不耐用，看视频很快就没电,0
拍照效果好，夜景也清晰,1
商品和描述完全不符，严重欺骗消费者,0
屏幕清晰度高，看视频体验极佳,1
物流太慢，等了一个星期才到,0
包装完好无损，很用心,1
产品质量很差，有明显的瑕疵,0
商家服务态度好，非常耐心解答问题,1
价格太贵，性价比不高,0
运行速度很满意，推荐入手,1
续航能力差，一天要充两次,0
手感很好，拿着很舒服,1
屏幕有划痕，收到就是坏的,0
音质效果很棒，听歌很享受,1
客服态度很差，爱理不理,0
充电速度很快，半小时就充满,1
做工粗糙，质量堪忧,0
系统流畅不卡顿，用起来很顺心,1
配送太慢，等得心烦,0
外观设计很漂亮，颜值很高,1
收到的商品有破损，很失望,0
颜色很正，和图片一样,1
尺寸偏大，穿着不合适,0
做工精细，没有毛边,1
面料不舒服，有点扎人,0
售后服务很好，问题及时解决,1
噪音很大，影响使用体验,0
性价比超高，物超所值,1
电池耗电太快，很不耐用,0
使用起来很方便，操作简单,1
屏幕亮度太低，阳光下看不清,0
外观很时尚，很有档次,1
赠品质量很差，像是地摊货,0
质量很好，用了很久都没坏,1
商品有异味，闻着不舒服,0
价格实惠，值得购买,1
按键不灵敏，操作很费劲,0
产品质量不错，值得信赖,1
退款流程复杂，耽误很长时间,0
包装精美，送礼很合适,1
手机经常死机，很烦人,0
使用效果很好，非常满意,1
充电接口接触不良，充不进电,0
发货速度很快，第二天就到了,1
软件经常闪退，体验很差,0
产品功能强大，很实用,1
售后服务电话打不通,0
外观大气，很有质感,1
价格虚高，不值这个价,0
效果不错，推荐购买,1
收到货后发现是二手翻新,0
质量很好，做工精细,1
尺寸偏小，穿着很紧,0
服务周到，很贴心,1
屏幕有坏点，影响观看,0
产品很满意，给好评,1
快递员服务态度很差,0
价格公道，质量有保证,1
电池鼓包了，很危险,0
使用方便，功能齐全,1
宣传夸大，实际效果很差,0
外观漂亮，很喜欢,1
客服回复很慢，等很久,0
质量可靠，值得购买,1
产品有划痕，像是用过的,0
物流速度快，包装好,1
耗电量太大，一天都撑不到,0
商家诚信经营，值得信赖,1
收到的颜色和图片不一样,0
产品很好用，效果显著,1
系统卡顿严重，用着很痛苦,0
服务态度好，很满意,1
屏幕碎了，运输过程中损坏,0
产品质量过硬，放心使用,1
功能太少，不值这个价格,0
