sentence,label
听男朋友说这家面不错就过去吃了顿，的确还行。 我点的是番茄牛肉好像，味道蛮好，面条也蛮有劲道的。 没有点小食，觉得两个人一人一份面就足够了，量还是蛮大的。,1
带老爸去吃的，肉买一送一，点多了，我们吃的很撑。凉菜点了三个，其中手撕笋没吃几个，打包带回家，结果就惨了。第二天吃的时候，发现某根笋里睡了一个大白胖子，我那个恶心啊，结果第二天的午饭我省了，反胃了一中午，吃什么都想起大白胖子来。因为东西带回家了，你也没办法找福成再去理论了，自认倒霉，再也不去吃了,0
其实我觉得他们家好贵。 随便一点菜就100多了。 还不如吃两碗面呢。 而且感觉都是辣辣的 没什么特别的味道 吃过一次 以后不会再去了,0
商场就不多说，东西还不错。主要是喜欢他的地下一层，十几家小店吃饭各有特色，那家港式茶餐厅烧鹅和肠粉很正宗哦。超市也比较喜欢，经常能买到不错的舶来品,1
店面不大，环境一般，去了两楼，感觉没有一楼凉快。 点了小盆骨头锅底28块。有四根骨头，肉满多的。 饮料是酸梅汤，豆浆免费畅饮，味道还不错。 蘸酱和碗筷4块钱，蘸酱自己配，不过二楼的东西没有一楼的多。 点了些很大众化的东西，价钱都比较实惠。 结账的时候用上次的收银条还能打85折。,1
口味一般，服务太差，比汉拿山差远了，感觉一个是正规饭店，一个是乡村小饭馆。果然盛名之下其实难副，还不如去年在望京火炉火旁边吃的那家金草帽,0
两个人吃了接近400块钱，可能那个多宝鱼比较贵些吧，木瓜汁59元，很好喝，很纯。榴莲酥，好吃呀。极品蛰头，也不错。还算值得推荐，就是中午的时候太吵了。,1
虽然是在小区里面， 但每次去的时候，里面人都蛮多的。 因为挨着学校近，所以经常和朋友过去聚餐。 酱骨头很不错的，大大的，味道也很好的； 东北大乱炖，记得是20元吧，但是量很足，每次都会剩下... 大拉皮是夏天去了必点的，很便宜量又多，适合夏天吃的很不错的凉菜。 还有明太鱼，记得第一次吃就是在这家店里吃的，觉得名字很有爱的，吃起来味道也不错。 饺子种类蛮多，3两以上起点，手工的，而且馅挺多的。,1
一字差。两个字，很差，服务慢，东西脏，大众点评卡不积分。总之，劝大家别去这个店了。宁可吃附近的避风塘。下次不会光顾甜蜜蜜任何的店了。 看得出这家甜蜜蜜十分重视对客户的反应，的确做得十分到位，希望他们家的东西也能对得起大家的胃吧！,0
这家店的店员素质差得很，顾客来消费还要给她赔笑脸，她是顾客的大爷啊。 生日蛋糕也很差，居然是用面包做坯的，还是粗面包，里面还有麦麸。不过自我安慰一下，说明面粉里至少没加吊白块，是天然环保的吧。,0
"不知道他们开这家注重的是什么。服务服务不好，叫个服务员理都不理你。环境坏境也不好，正在吃东西时一只小飞冲还在倒处飞,.东西也做的不怎么样.所以下次不会再过来吃大",0
"去的时候人不多,但有七八个学生大声喧闹又喝又抽的,点了一碗原味的辣两掺粉,他们家的辣子不辣,吃了好多也没辣的感觉,不如前面那个川味麻辣烫味道正~ 吃到一半时,没想到那些学生其中有一个大吐,真恶心赶紧收拾走人,看老板的表情也真是无奈呀!!",0
这家店离公司很近，从外观看，招牌很大，很气派。 菜式是比较传统的本帮菜，味道一般般，菜量很少。 服务员的态度比较生硬，上菜速度很慢，服务方面实在不敢恭维。,0
开在我格广场地下1楼，看到精致小火锅去吃的，点了分酸菜白肉火锅，有滑有丸有蔬菜，回鱼卷超级难吃，有股很怪怪的味道，肉燥饭像牲口吃的，那个调羹很夸张，精致小火锅只是虚名，真的一点也不精致。。。,0
